KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_bSeaiC8,"<color=#2eafff>See you later, Torv. Don't get yourself killed.</color>",,,,,,,,,,,,,,,,
dialogue_uCei44q,<b><color=#ff0000>Mission: Forced Shutdown</color></b>,,,,,,,,,,,,,,,,
dialogue_moSWuim,<b><color=#2eafff>[ {PlayerName} ]</color></b>\nThe console appears to be in Lockdown mode.@w3 I cannot access the systems.,,,,,,,,,,,,,,,,
dialogue_em4SWOu,<b><color=#ffffff>Leave</color></b>,,,,,,,,,,,,,,,,
dialogue_B8C1GiM,"<b><color=#2eafff>[ {PlayerName} ]</color></b>\nThe Console is dead.@w3 Without the core, the console has nothing to connect to.",,,,,,,,,,,,,,,,
dialogue_WuG8G00,<b><color=#ffffff>Leave</color></b>,,,,,,,,,,,,,,,,
dialogue_eGW3mme,<b><color=#ff0000>< Xenu: Drone Platform SystemCoreOS v23.7-av1 ></color></b>@w3\n<b><color=#ffee00>< Reading External Language Package: ></color></b> <color=#ffffff>TerranStandard.lex</color>@w3\n<b><color=#ffee00>< System Mode: ></color></b> <color=#ff0000>AUTISTIC</color> <color=#ffffff>(No External Input - Output Only)</color>@w3\n<b><color=#ffae00>< Disable Lockdown Protocol? ></color></b>,,,,,,,,,,,,,,,,
dialogue_q4OammC,<b><color=#6bd600>Confirm</color></b>,,,,,,,,,,,,,,,,
dialogue_qKCu0aR,<b><color=#ff0000>Deny</color></b>,,,,,,,,,,,,,,,,
dialogue_qWSGKGi,<b><color=#ff0000>< Xenu: Drone Platform SystemCoreOS v23.7-av1 ></color></b>@w3\n<b><color=#2eafff>< Disabling Lockdown Protocol ></color></b>@w3\n<b><color=#2eafff>< Opening all Connections ></color></b>@w3\n<color=#2eafff><b>< Re-establishing Contact with External Devices ></b></color>,,,,,,,,,,,,,,,,
dialogue_a4WuiCq,<b><color=#ffee00>Upload to External Storage Device:</color></b> <color=#00ffee>UCH/IDA/ExCon/port-1317584</color>,,,,,,,,,,,,,,,,
dialogue_CGGUOa0,<b><color=#ff0000>Initiate Core Purge</color></b>,,,,,,,,,,,,,,,,
dialogue_eGem0Ca,<b><color=#6bd600>Access System Records</color></b>,,,,,,,,,,,,,,,,
dialogue_8uaeKia,"<b><color=#ff0000>< Xenu: Drone Platform SystemCoreOS v23.7-av1 ></color></b>@w3\n<color=#2eafff><b>< Connecting to External Device ></b></color>@w2 <b><color=#ffffff>.@w2 .@w2 .</color></b>@w4\n<color=#ffee00><b>< Uploading 112,573 files to External Device ></b></color>@w6\n<b><color=#ffffff>< Estimated Time Remaining: 5 minutes, 22 seconds ></color></b>",,,,,,,,,,,,,,,,
dialogue_S8CiSqG,<b><color=#ff0000>Initiate Core Purge</color></b>,,,,,,,,,,,,,,,,
dialogue_eCCWCG8,<b><color=#6bd600>Access System Records</color></b>,,,,,,,,,,,,,,,,
dialogue_8imG0Ic,<b><color=#ff0000>< Xenu: Drone Platform SystemCoreOS v23.7-av1 ></color></b>@w3\n<b><color=#ffee00>< Authorization: </color><color=#2eafff>Blue-22</color><color=#ffee00> ></color></b>@w3\n<b>< <color=#ffee00>Required Authorization to view Files:</color> Black-66 ></b>@w3\n<color=#ffee00>< Currently Open File: </color><color=#ff0000><b>Project NEMESIS </b>- Asset-SC14</color><color=#ffee00> ></color>,,,,,,,,,,,,,,,,
dialogue_SCiuYqK,<b><color=#ffee00>Upload to External Storage Device:</color></b> <color=#00ffee>UCH/IDA/ExCon/port-1317584</color>,,,,,,,,,,,,,,,,
dialogue_WvqSsa0,<b><color=#ff0000>Initiate Core Purge</color></b>,,,,,,,,,,,,,,,,
dialogue_mqCuCqe,<b><color=#ff0000>< Xenu: Drone Platform SystemCoreOS v23.7-av1 ></color></b>@w3\n<b><color=#ff0000>< Warning! No Hostile Contaminants Detected! ></color></b>\n<b><color=#ffee00>< Are you sure you wish to proceed? ></color></b>,,,,,,,,,,,,,,,,
dialogue_6aKKO84,<b><color=#ff0000>Proceed</color></b>,,,,,,,,,,,,,,,,
dialogue_e0E8GEG,<b><color=#ff0000>Return to Main Menu</color></b>,,,,,,,,,,,,,,,,
dialogue_Oi840u1,<b><color=#ff0000>< Xenu: Drone Platform SystemCoreOS v23.7-av1 ></color></b>@w3\n<b><color=#ffee00>< Initiating Core Purge ></color></b>@w2\n<b><color=#ffee00>< Deleting all files ></color></b>@w2\n<b><color=#00ffee>< Please Vacate the Room. System will Self-Destruct ></color></b>@p6\n<b><color=#2eafff>< A fatal exception or error has occurred in SystemCoreOS >@w4</color></b>\n<b><color=#2eafff>< This system error will be left to cycle during Core Purge ></color></b>@w4\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@w1</color>\n<color=#ff0000>< ERR !! System Exception out of bounds ! >@p5</color>\n<color=#ff0000><b>< Good bye ></b></color>,,,,,,,,,,,,,,,,
dialogue_eWSmWWS,<b><color=#ffffff>Leave</color></b>,,,,,,,,,,,,,,,,
dialogue_8a4em4G,"<b><color=#2eafff>[ {PlayerName} ]</color></b>\nI have returned!@w3\nDid you finish what you wanted to do after the Drone Base, Khalad?@p7\n<b><color=#6bd600>[ Khalad ]</color></b>\nYes, I returned to my village and spoke with my uncle to inform him of the news.@w3\nReactions were...@w2 mixed.@w4\nNow that the Drone Base is gone,@w2 none of my people know what to do.",,,,,,,,,,,,,,,,
dialogue_Ki08aSK,"<color=#2eafff>What will happen with Geam now? Even if he did it for the right reasons, he still betrayed your people.</color>",,,,,,,,,,,,,,,,
dialogue_4KWSGWK,<color=#2eafff>Did you bring Geam's body back to the village? To his family?</color>,,,,,,,,,,,,,,,,
dialogue_S8mKmaO,<color=#2eafff>Should we have left Geam locked up in that prison cell? He could still get out.</color>,,,,,,,,,,,,,,,,
dialogue_aiOSiSO,"<b><color=#6bd600>[ Khalad ]</color></b>\nGeam knows what he did was wrong and accepts the consequences of his actions.@w5\nHe would normally be either exiled from Tal'on Lands, forbidden all communication with the people...@w3 or he would be executed if he possessed valuable knowledge of our people that would fall into the hands of an enemy.@p9\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nWell, he's already fallen into the enemy's hands...@w2 willingly.@w3\nAnd he would probably survive for a long time on his own in the wilds right now.@w3\nSo he will be...@w2 executed?@p8\n<b><color=#6bd600>[ Khalad ]</color></b>\nThat would be the foregone conclusion normally...@w5\nI think I will speak in his defense.",,,,,,,,,,,,,,,,
dialogue_0WGi4um,<color=#2eafff>What?! After he started a war between the Tal'on and the Zirax on this planet?</color>,,,,,,,,,,,,,,,,
dialogue_C8OGeiK,"<b><color=#6bd600>[ Khalad ]</color></b>\nHis body was returned to the Village.@w3\nHe will be buried as one of the people,@w2 one of the village.@w3 He would not normally be given that honor for what he has done...@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nThen why is be being allowed a Tal'on funeral?@p6\n<b><color=#6bd600>[ Khalad ]</color></b>\nBecause I spoke on his behalf.@w3\nWhat he did was horrible,@w2 but he did it for his people...@w2 to give us a future where we could be free.@w4\nIn time, he may be remembered as a hero.",,,,,,,,,,,,,,,,
dialogue_iiWauSG,<color=#2eafff>After he started a war between the Tal'on and Zirax?</color>,,,,,,,,,,,,,,,,
dialogue_K8w0qOj,"<b><color=#6bd600>[ Khalad ]</color></b>\nIf he escapes,@w2 only death is likely to await him.@w3\nHe betrayed the people,@w2 so now he must live the rest of his life apart from them.@p7\n<b><color=#6bd600>[ Khalad ]</color></b>\nI think i'll let him live like that for a while if he escapes his confinement.@w3\nHe may have done the wrong thing for the right reasons,@w2 but because of his actions we, the Tal'on will have a brighter future.@w3 \nHe is too valuable a resource to be left to wallow in self-pity in some field somewhere.",,,,,,,,,,,,,,,,
dialogue_Qi0CX0u,<color=#2eafff>You'll forgive him? After he started a war between the Tal'on and the Zirax on this planet?</color>,,,,,,,,,,,,,,,,
dialogue_E0eiSkS,"<b><color=#6bd600>[ Khalad ]</color></b>\nYes, even after he started a war.@w4\nHe was the catalyst for the events that culminated in our freedom from Zirax rule on this planet.@w3\nThe few zirax installations that remain are locked down and will remain so for the forseeable future.@p8\n<b><color=#6bd600>[ Khalad ]</color></b>\nIt is unfortunate that we could only open the door for my people, on this planet.@w3\nThere are many planets in this galaxy where my people were exiled to live as slaves or savages.@w2 Many who were even less fortunate than us to be dumped in some hellhole and left to rot.@p9\n<b><color=#6bd600>[ Khalad ]</color></b>\nI cannot do anything to help those people,@w3 I am here with my people.@w2 They will need me...",,,,,,,,,,,,,,,,
dialogue_W4iC8uq,<color=#2eafff>So you've decided to become chief after all?</color>,,,,,,,,,,,,,,,,
dialogue_a6OmOG0,"<b><color=#6bd600>[ Khalad ]</color></b>\nIt certainly looks that way, doesn't it?@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nCongratulations!@w3 I'm sure your uncle will be proud.@w2 <i>If </i>he can convince Na'tuk to step down for you.@w3 \nI know you did <i>something </i>to upset him enough for you to be sent to the Ziggurat.@p8\n<b><color=#6bd600>[ Khalad ]</color></b>\nYou have not heard, have you?@w5\nChief Na'tuk was the first to be killed when the village was attacked.@w4\nHe walked out of the gates to plead with the approaching soldiers.@w3 He did not even get close enough for them to hear him before he was gunned down.@p8\n<b><color=#6bd600>[ Khalad ]</color></b>\nHe clung to the idea of peace up until he died.@w4\nThe Huntmaster is currently serving as interim Chief until someone...@w2 more suitable appears.@w3 \nHe's doing a <i>better </i>job than anyone thought he would.@w2 I might not get the position after all!",,,,,,,,,,,,,,,,
dialogue_0aOSWSm,<color=#2eafff>So you've finally spoken with your uncle?</color>,,,,,,,,,,,,,,,,
dialogue_aOMeOPK,"<b><color=#6bd600>[ Khalad ]</color></b>\nYes,@w3 he was more accepting of my choices than I thought he would be.@w4\nThings haven't been easy between the two of us,@w2 but he will be a good spiritual adviser if I am made Chief. @w5 @p9\n<b><color=#6bd600>[ Khalad ]</color></b>\nSpeaking of Spiritual Advisers...@w2 Shaman Ur'cera saw how much you liked our new <color=#ffee00>Plasma Crossbows</color> that he asked me to give you <i><color=#ffee00>this</color></i>, as a token of our friendship.@w4\nHe hopes you will enjoy it. @w4 @p9\n<b><color=#6bd600>[ Khalad ]</color></b>\nWell, my friend...@w3\nIf you still wish to offer your services,@w2 there is still the matter of the remaining three Renegades that have fled with Commander Dreadarm. @w4 @p9\n<b><color=#6bd600>[ Khalad ]</color></b>\nThey have gone to an ocean world known as Ampathos.@w3 From the data extracted from the Drone Base, it is far from here.@w3\nI cannot help or guide you there, since I know nothing of it except that my Tal'on brothers were once exiled there as they were here. @w7 @p9\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nYou can leave that to me.@w3\nIf I find the planet,@w2 I'll see what I can turn up.@w6\nI've also noticed that you're starting to sound more like a chief, too.@p8\n<b><color=#6bd600>[ Khalad ]</color></b>\nJust practising for my role.@w4\nA role i'm going to have to very quickly assume if I want to keep things from going to crap once the peace sets in.@p7\n<b><color=#6bd600>[ Khalad ]</color></b>\nI'm no good at farewells,@w2 so let me just say 'Good Luck' and 'May the spirits guide you to Empyrion' my friend.@w5\nCome back and visit sometime, and spare me from the boredom of village life.",,,,,,,,,,,,,,,,
dialogue_Cq8GKkw,"<color=#2eafff>I will, Khalad. I'm sure you'll do fine in your new role, and thank Ur'cera for me.</color>",,,,,,,,,,,,,,,,
dialogue_RaeOaCO,<b><color=#ffee00>Mission: Meet the Pilots</color></b>,,,,,,,,,,,,,,,,
dialogue_om4WoiU,"<b><color=#ffee00>[ Garrison ]</color></b>\nHey there, <i>newbie</i>!@w3\nI'd shake your hand but i've got to concentrate.@w2 Yes, you guessed it.@w2 I am<i> THE </i>Garrison.@w3\nThat's right,@w2 I'm an <i>entire garrison</i>.@w2 <i>Troops galore!</i>@p8\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nI see you're a 'funny-man'.@w3\nI didn't expect to see a comedian on board.@p6\n<b><color=#ffee00>[ Garrison ]</color></b>\nI know, right?@w3\nI should be doing stand-up in a club somewhere.@w3But no,@w2 the guys here need a laugh too sometimes.@w4 Besides,@w2 I have warrants on most of the planets where they do comedy,@w2 so I can't go back there anyway.@p8\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nI guess you just weren't that good then. @w4 \nSo,@w2 what am I doing here, Garrison?@p7\n<b><color=#ffee00>[ Garrison ]</color></b>\nWhat are <i>any </i>of us doing here, really?@w3 It's one of life's greatest mysteries... @w6 \nOkay,@w1 being serious now.@p6\n<b><color=#ffee00>[ Garrison ]</color></b>\nWe've got a big job lined up where we'll be taking down one of <color=#ffae00>Polaris' Duvall-class Freighter</color> in a few days.@w3 They're big blocky things without a hint of style. @w4 \nAnyway,@w2 they changed the schedule a week ago and now we're trying to find out when and where they're coming through.@p9\n<b><color=#ffee00>[ Garrison ]</color></b>\nThe info we're after is inside <color=#ffae00>Kenex Station</color>,@w3 I'm hoping you've still got your employee card, newbie@w2 since this mission will require access to the upper levels.@w3\nWe need to you splice a <color=#ffffff>Decryption Device</color> into the Station's main Transceiver <color=#ff5c5c>WITHOUT</color> being seen.",,,,,,,,,,,,,,,,
dialogue_iCCuFq0,<color=#2eafff>Seems simple enough. Where's the Decryption device and the Transceiver?</color>,,,,,,,,,,,,,,,,
dialogue_S48im8K,"<b><color=#ffee00>[ Garrison ]</color></b>\nAh, see.@w2 This is the problem, right here.@w4\nThe Decryptor couldn't be brought onto the station without being detected as an E-Warfare Device by the scanners on the doors.@w4 It had to be brought in a piece at a time and assembled <i>ON </i>the station.@p9\n<b><color=#ffee00>[ Garrison ]</color></b>\nWe have a guy on the station we use to fence stolen goods and he knows a guy... @w5 \nAnyway,@w2 the device was assembled on the station and left in a safe place for you to pick it up and stick it onto the Transceiver.@w2 Simple!@p9\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nI don't like where this is going.@w3\nWhat <i>aren't </i>you telling me?@p6\n<b><color=#ffee00>[ Garrison ]</color></b>\nAh, you got me!@w4\nThe Transceiver's actually on the <i>outside </i>of the Station!@w3 That's not a problem though,@w2 the sensors only detect illegal items being brought <i>into </i>the station,@w2 not <i>out</i>.@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nYou're still evading the question.@p5\n<b><color=#ffee00>[ Garrison ]</color></b>\nYeah...@w4 I don't know how to tell you this but...@w5\nThe Transceiver's <i>right </i>in front of the <color=#ff5c5c>Operation Room's main window</color>,@w2 in full view of a dozen PolSec Communication Specialists.@w4 So you gotta be REAL sneaky here.",,,,,,,,,,,,,,,,
dialogue_C0eSi08,"<color=#2eafff>Okay, so where do I pick up the device from?</color>",,,,,,,,,,,,,,,,
dialogue_m0mO8CW,"<b><color=#ffee00>[ Garrison ]</color></b>\nI've been informed that the Fence hid it in the <color=#ff5c5c>men's toilets</color> behind one of the Toilets.@w4\nTalk about a shitty job, eh?@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nYeah...@w5\nSo I get the <color=#ff5c5c>decryptor</color>, go outside and stick it into the Transceiver... <i>where</i>?@p7\n<b><color=#ffee00>[ Garrison ]</color></b>\nOh yeah,@w2 there's a <color=#ff5c5c>Data Relay</color> on the bottom of the Transceiver.@w4\nYou stick that bad boy in there and we'll be able to siphon off incoming and outgoing transmissions,@w1 delay calls for reinforcements,@w2 the works!@w3\n<i><color=#ff0000>And don't be seen doing it!</color></i>",,,,,,,,,,,,,,,,
dialogue_WKim4GO,"<color=#2eafff>Okay, i'll get onto that. Catch you later, Garrison.</color>",,,,,,,,,,,,,,,,
dialogue_a4imRur,<b><color=#ffffff>Channel Open:</color> <color=#ff0000>Red Rogue</color></b>,,,,,,,,,,,,,,,,
dialogue_e10GC8S,"<b><color=#2eafff>[ {PlayerName} ]</color></b>\nGarrison, pick up you lazy ass!@p5\n<b><color=#ffee00>[ Garrison ]</color></b>\nRed Rogue Delivery Service.@w3\nHow may I direct your call?@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nWe have a huge problem here.@w3 The package isn't in any of the stalls!@p6\n<b><color=#ffee00>[ Garrison ]</color></b>\nOh.@w3 That's not good.@w5\nBut hey,@w2 maybe the guy hasn't dropped it off yet?@w3 You could check with the Fence and see if he's still got it.",,,,,,,,,,,,,,,,
dialogue_4uKU0Ga,<color=#2eafff>Where do I find him?</color>,,,,,,,,,,,,,,,,
dialogue_KG80QSi,"<color=#ffee00><b>[ Garrison ]</b></color>\nOh, he's a member of the station crew.@w4\nHis permanent residence is on the other side of the main hangar bay in the crew quarters.@w4 He's a great guy and can get his hands on some really niche stuff.",,,,,,,,,,,,,,,,
dialogue_OW248SS,<color=#2eafff>I'll check him out. {PlayerName} out.</color>,,,,,,,,,,,,,,,,
dialogue_iuSC6m4,Suspicious Businessman,,,,,,,,,,,,,,,,
dialogue_COSGqiK,I take it you've invaded my room for some reason?,,,,,,,,,,,,,,,,
dialogue_iWu482O,<color=#2eafff>I heard you're the zirax to talk to if i'm looking for less than legal equipment.</color>,,,,,,,,,,,,,,,,
dialogue_GO8iGrC,<color=#2eafff>I'm here to talk about a certain package.</color>,,,,,,,,,,,,,,,,
dialogue_KsG6ul8,<b><color=#ff5c5c>[ Fence ]</color></b>\nThat could be anything!@w3 I send out packages all the time.@w4 You'll need to be more specific.@w4\nWhat is it and who is it for?,,,,,,,,,,,,,,,,
dialogue_8oCemq5,"<color=#2eafff>A Decryption Device, hidden behind a toilet. Ring any bells?</color>",,,,,,,,,,,,,,,,
dialogue_0q4G4qe,"<b><color=#ff5c5c>[ Fence ]</color></b>\nYes, yes.@w2 I put it right where you could find it; last stall in the Men's Toilet,@w2 taped to the underside of the cistern.@w4\nDidn't your employer tell you anything about the job?@p8\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nOh, they did.@w3\nBut when I went to pick it up,@w2 it was <i>already </i>gone.@w5\nIf <i>you </i>haven't failed to deliver it,@w2 then that means someone else has it.@p8\n<b><color=#ff5c5c>[ Fence ]</color></b>\nIf it gets handed in to security they'll know that I made it!@w6\nYou have to find it!@w3 If they get their hands on that, PolSec will come for me!@p8\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nI guess that would be too bad for you, huh?@p6\n<b><color=#ff5c5c>[ Fence ]</color></b>\nI am sure I could offer them <i>something </i>more valuable than myself in exchange for my freedom...@w5\nAre you understanding my meaning, Human?",,,,,,,,,,,,,,,,
dialogue_qc04uWe,<color=#2eafff>That doesn't seem like something an <i>honorable </i>zirax would do.</color>,,,,,,,,,,,,,,,,
dialogue_KeCLaeu,"<b><color=#ff5c5c>[ Fence ]</color></b>\nYou can clearly see the line of work i'm in.@w3\nWhat makes you think that i'm honorable?@p7\n<b><color=#ff5c5c>[ Fence ]</color></b>\nI <i>will </i>assist you in finding the device since it's my ass on the line as well.@w4\nThat is the limit I am willing to extend myself.@w4 If you are caught, I will be long gone before you have the chance to talk.@w2 Understood?",,,,,,,,,,,,,,,,
dialogue_S4Om8CW,<color=#2eafff>Gee... Don't strain yourself.</color>,,,,,,,,,,,,,,,,
dialogue_44KuKGu,<color=#ffee00><b>Mission: View from above</b></color>,,,,,,,,,,,,,,,,
dialogue_8uSCuum,"<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nYes? How can I help you? @w6 \nOh,@w2 it's you again.@w3 Did you ever manage to find your friends?@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nAfraid not.@w3 But i'm still on the lookout for them.@w4\nI'm here to ask you something else today.@p7\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nAhh...@w2 At least it's not a complaint.@w3\nI've had four...@w2 'robust' women come in here looking to see the manager.@w4\nI'm at my wit's end with these people!@w3 I need a vacation.",,,,,,,,,,,,,,,,
dialogue_3eSeamG,<color=#2eafff>I dropped a very valuable package in the toilet and someone seems to have picked it up.</color>,,,,,,,,,,,,,,,,
dialogue_808qMGm,<color=#2eafff>Have you considered just not giving a crap?</color>,,,,,,,,,,,,,,,,
dialogue_SYCijSu,<color=#2eafff>There's a guy called Paravel who would love this job.</color>,,,,,,,,,,,,,,,,
dialogue_48u8GQu,"<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nExcuse me?@p5\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nYeah,@w2 the next time one of those rude, entitled women come in here, just tell them to leave.@w3 If they make a fuss or get angry you'll have grounds to call Station Security on them.@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nThe alternative is to keep a gun in visible sight so they'll reconsider bugging you with problems.@w3\nIt's worked for me at least.@p8\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nLets uhh... leave the business of managing the trading floor of a space station to me and how about you go back to telling me what your problem is?",,,,,,,,,,,,,,,,
dialogue_ma24C8q,<color=#2eafff>I dropped a very valuable package in the toilet and someone seems to have picked it up.</color>,,,,,,,,,,,,,,,,
dialogue_aACOtk0,"<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nParavel?@w3 If I recall correctly, he runs the ground station on the planet below.@w3 What does <i>he </i>have to do with me?@p7\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nHe's an officious ass,@w2 but he likes being in charge and is hoping for a promotion.@w3 I think the Floor Manager position would be right up his alley.@w6\nThe Trade Station on the ground however, is much lower stress and less demanding and could be a good fit for you.@p9\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nDo...@w2 you think he'd <i>want </i>my position?@w3 I can't see how <i>anyone </i>would want this role.@w2 It's <i>horrible</i>!@w2 The people I deal with are the <i>worst </i>in the galaxy!@p8\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nIf you file a transfer request,@w2 i'm sure they'll take it under advisement.@w4\nIf you need a reference, I can always put a word in.@p7\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nOh, thank you!@w2 Thank you so much!@w4\nWhat can I do to repay you?",,,,,,,,,,,,,,,,
dialogue_GSCuCaC,<color=#2eafff>I dropped a very valuable package in the toilet and someone seems to have picked it up.</color>,,,,,,,,,,,,,,,,
dialogue_OWu4mWY,"<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nAh,@w2 another case of stolen luggage is it?@w4\nLet me check the security footage. This won't take longer than a couple of seconds...@p9\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nHmmm...@w6\nOnly one person came out carrying something they didn't go in with.@w6\nIt doesn't look like a case of stolen luggage though.@w3 I know this fellow.@p8\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nYep...@w4 There he goes back to his apartment on the upper level.@w3\nThat's <color=#00ffee>Yeven</color>.@w4 He's one of the admin staff on the Coms Deck.",,,,,,,,,,,,,,,,
dialogue_qaqC4eu,<color=#2eafff>Who's this Yeven guy?</color>,,,,,,,,,,,,,,,,
dialogue_aqmJS4W,"<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nYeven?@w3\nHe handles hardware analysis for PolSec.@w3 He doesn't do much except investigate ships that come into the station with failing systems to determine if it's a hardware problem that may need addressing.@w6\nHe bowls on the weekends with the Hangar crew.@p9\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nAnd uh.. where is he <i>right</i> now?@w3\nI'd like to see if he still has my package.@p8\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nHe should be at his station on the com deck right now.@w4\nHe'll be heading to lunch any minute now, so you should be able to catch him.@p8\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nI'll see if I can run into him.@w3\nThank you for your help, Manager.@p7\n<b><color=#ffae00>[ Kenex Floor Manager ]</color></b>\nIf only all my visitors here were as happy with my assistance as you are...@w5\nGood day.",,,,,,,,,,,,,,,,
dialogue_G0OWua8,<color=#2eafff>See you later</color>,,,,,,,,,,,,,,,,
dialogue_8kCWsS8,<color=#ffae00><b>Yeven's Personal Computer</b></color>,,,,,,,,,,,,,,,,
dialogue_SZO8Ki4,"<b><color=#2eafff>[ {PlayerName} ]</color></b>\nIDA, the package isn't here either.@w3 He must've taken it somewhere.@w5\nI've found his computer and it's still logged in.@w2 It might tell us where he put it.@p8\n<b><color=#ffee00>< KNX-OS - Personal Terminal 33A - USER: YevenJ ></color></b>\n<color=#ffffff>Welcome Back YEVENJ@w3</color>\n<color=#ffffff>Loading user settings...</color>",,,,,,,,,,,,,,,,
dialogue_w8ia84a,<color=#ffffff>Menu/History</color>,,,,,,,,,,,,,,,,
dialogue_usSCcVi,<b><color=#ffee00>< KNX-OS - Personal Terminal 33A - USER: YevenJ ></color></b>\nMenu/History/@w3\nDisplaying last 4 Results...,,,,,,,,,,,,,,,,
dialogue_uuCKA48,<color=#00ffee>Work Report: POL-077W Duvall-Class Freighter B05</color>,,,,,,,,,,,,,,,,
dialogue_qeOC8Wq,<color=#00ffee>Work Report: POL-659 Tursas-Class Battleship</color>,,,,,,,,,,,,,,,,
dialogue_mema8Si,<color=#00ffee>Messages > RE: Strange Device</color>,,,,,,,,,,,,,,,,
dialogue_qqSuOKu,<color=#00ffee>Messages > Announcement: Stolen Goods</color>,,,,,,,,,,,,,,,,
dialogue_GueWCuO,"<b><color=#ffee00>< KNX-OS - Personal Terminal 33A - USER: YevenJ ></color></b>\n<color=#ffffff>Opening Report for Duvall-Class Freighter: Unit B05</color>@p6\n<b><color=#2eafff>[ {PlayerName} ]</color></b>\nLooks like a schematic for the Duvall-Class Freighter.@w4\nLong, blocky and contains four massive containers used for transporting large cargo, industrial equipment and small vessels.@p9\n<b><color=#ffee00>< Work Report: Personal Notes ></color></b>\n<color=#00ffee>- There are three exposed electrical conduits between containers 3 and 4 that need sealing.@w3</color>\n<color=#00ffee>- The airlock door on the Port Side personnel entrance is still operating with the default locking code. Anyone with access to the production manual can open this door. </color><color=#ff0000><b>(URGENT)</b></color><color=#00ffee>@w3</color>\n<color=#00ffee>- Weapons Locker on the forward bulkhead has a broken keypad. Only the code </color><color=#ffae00>2222 </color><color=#00ffee>will work until the unit is replaced.</color>",,,,,,,,,,,,,,,,
dialogue_ObM88u4,<color=#00ffee>Work Report: POL-659 Tursas-Class Battleship</color>,,,,,,,,,,,,,,,,
dialogue_e2GWtOn,<color=#00ffee>Messages > RE: Strange Device</color>,,,,,,,,,,,,,,,,
dialogue_GCuKKqS,<color=#00ffee>Messages > Announcement: Stolen Goods</color>,,,,,,,,,,,,,,,,
